Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,1.264052241,1.315550666,1.367049091,1.418547515,1.47004594,1.521544365,1.595280745,1.669017126,1.742753507,1.816489888,1.890226268,1.937043018,1.983859768,2.030676517,2.077493267,2.124310017,2.268591682,2.412873348,2.557155013,2.701436679,2.845718344,2.99000001,2.514790058,2.514790058
Albania,8.750521307,8.819999695,8.885713986,8.951428277,9.017142568,9.082856859,9.148571151,9.214285442,9.279999733,9.453333219,9.626666705,9.800000191,10.02999973,10.01933975,10.00867977,9.998019791,9.98735981,9.976699829,10.02484799,10.07299615,10.12114431,10.17531099,10.17531099,10.17531099
Algeria,5.609090978,5.683260777,5.757430575,5.831600373,5.905770171,5.979939969,6.170000076,6.230000019,6.289999962,6.053333282,5.816666603,5.579999924,5.760033667,5.94006741,6.120101154,6.300134897,6.480168641,6.660202384,6.840236127,7.020269871,7.215610724,7.416386987,7.416386987,7.416386987
Andorra,9.814466572,9.898915551,9.984091174,10.06999969,10.69999981,10.09000015,10.40999985,10.43999982,10.46999979,10.49999976,10.52999973,10.5599997,10.58999968,10.61999965,10.64999962,10.56999969,10.56000042,10.73500029,10.91000017,11.08500004,11.25999991,11.43499978,11.60999966,11.60999966
Angola,3.425745773,3.464791,3.505191693,3.545592386,3.585993079,3.626393772,3.666794465,3.707195158,3.747595851,3.787996544,3.828397237,3.86879793,3.909198623,3.949599316,3.99000001,5.315629959,5.417390823,5.521099768,5.626794086,5.734511785,5.844291601,5.956173009,5.956173009,5.956173009
Antigua and Barbuda,9.202073771,9.328779548,9.457229971,9.587449062,9.719461174,9.853290995,9.988963554,10.12650422,10.26593873,10.40729314,10.5505939,10.69586781,10.84314203,10.99244411,11.14380197,11.29515983,11.44651769,11.59787555,11.7492334,11.71532228,11.68141116,11.64750004,11.64750004,11.64750004
Arab States,5.101548635,5.198593843,5.29604668,5.406386213,5.540432493,5.69425078,5.828757087,6.018226672,6.156197464,6.285588587,6.387365147,6.53006335,6.715478781,6.900108509,7.085046615,7.265879673,7.418045894,7.591984116,7.746850328,7.88287427,8.037800332,8.191442073,8.054184409,8.071574177
Argentina,8.801999855,8.869999886,9.394999981,9.920000076,10.00999991,10.09999975,10.18999958,10.29999971,10.40999985,10.53999996,10.60000038,10.69999981,10.78999996,10.89000034,10.90999985,10.92000008,10.93000031,11.01500034,11.10000038,11.12000036,11.14000034,11.18458184,11.18458184,11.18458184
Armenia,10.49194093,10.48999977,10.55999975,10.62999973,10.69999971,10.76999969,10.83999968,10.90999966,10.97999964,11.04999962,11.1199996,11.18999958,11.28499961,11.37999964,11.47499967,11.56999969,11.68974018,11.18999958,11.23666636,11.28333314,11.32999992,11.34497821,11.34497821,11.34497821
Australia,11.28549308,11.34161987,11.39774666,11.45387344,11.51000023,11.55000019,11.64000034,11.71000004,11.93999958,11.98999977,12.02999973,12.11999989,12.30000019,12.02000046,12.17000008,12.25,12.35000038,12.31999969,12.46000004,12.56000042,12.64000034,12.77999973,12.86999989,12.86999989
Austria,11.10642883,11.19714315,11.28785746,11.37857178,11.4692861,11.56000042,11.54500008,11.52999973,11.47000027,11.67000008,11.71000004,11.71000004,11.75,11.78999996,12.01000023,12.07999992,12.10999966,12.15999985,12.21000004,12.26000023,12.31062811,12.36146506,12.36146506,12.36146506
Azerbaijan,10.30000019,10.34000015,10.38000011,10.42000008,10.46000004,10.5,10.53999996,10.57999992,10.59000015,10.59000015,10.60999966,10.60999966,10.60999966,10.56999969,10.56999969,10.56999969,10.64999962,10.64000034,10.64000034,10.64000034,10.74750018,10.85500002,10.96249986,11.06999969
Bahamas,11.03999996,11.12199993,11.2039999,11.28599987,11.36799984,11.44999981,11.53199978,11.61399975,11.69599972,11.77799969,11.85999966,11.94374484,12.02808137,12.11301341,12.19854516,12.28468087,12.37142479,12.45878123,12.5467545,12.63534896,12.724569,12.81441904,12.81441904,12.81441904
Bahrain,8.045000124,8.340000153,8.305555662,8.27111117,8.236666679,8.202222188,8.167777697,8.133333206,8.098888715,8.064444224,8.029999733,8.244999727,8.45999972,8.674999714,8.889999708,9.104999701,9.319999695,9.590000153,10.5,10.75,11.0,11.07499981,11.14999962,11.13000011
Bangladesh,4.283905106,4.400000095,4.480000067,4.560000038,4.64000001,4.719999981,4.799999952,4.879999924,4.959999895,5.039999866,5.119999838,5.199999809,5.300000191,5.059999943,5.190000057,5.989999771,6.110000134,6.269999981,6.389999866,6.550000191,7.099999905,6.789999962,6.789999962,6.789999962
Barbados,8.989999771,9.095642626,9.20128548,9.306928334,9.412571189,9.518214043,9.545142614,9.572071185,9.598999756,9.625928326,9.652856897,9.661142611,9.669428325,9.677714039,9.685999753,9.694285467,9.733642609,9.772999751,9.812356893,9.851714035,9.891071177,9.92835689,9.92835689,9.92835689
Belarus,10.38321013,10.4699011,10.55731587,10.64546048,10.73434102,10.82396364,10.91433453,11.00545995,11.09734618,11.18999958,11.28499966,11.37999973,11.47499981,11.56999989,11.66499996,11.76000004,11.85500011,11.95000019,12.04500027,12.14000034,12.23729677,12.33537298,12.33537298,12.33537298
Belgium,10.54152656,10.63867396,10.73582136,10.83296876,10.93011616,11.02726356,11.05000019,11.11500025,11.18000031,11.31999969,11.42000008,11.47000027,11.5,11.53999996,11.64000034,11.89000034,11.98999977,12.23999977,12.30999994,12.38000011,12.53386908,12.68965045,12.68965045,12.68965045
Belize,7.169285502,7.341428348,7.513571194,7.68571404,7.857856887,8.029999733,8.521999741,9.013999748,9.505999756,9.997999763,10.48999977,10.17668591,9.86337204,9.550058174,9.236744308,8.923430443,8.908744431,8.894058418,8.879372406,8.864686394,8.850000381,8.762290001,8.762290001,8.762290001
Benin,2.290000033,2.375000036,2.460000038,2.472683366,2.485366694,2.498050022,2.51073335,2.523416678,2.536100006,2.548783334,2.561466662,2.57414999,2.586833318,2.599516646,2.612199974,2.624883302,2.63756663,2.650249958,2.841894984,3.03354001,3.113870025,3.194200039,3.194200039,3.194200039
Bhutan,,,,,,,,,,,2.359933,2.288726499,2.220000029,2.588000011,2.955999994,3.323999977,3.69199996,4.059999943,4.580629311,5.170262283,5.835794662,5.835794662,5.835794662,5.835794662
Bolivia (Plurinational State of),7.098888927,7.210000038,7.14800005,7.086000061,7.024000072,6.962000084,6.900000095,7.049999952,7.199999809,7.480000019,7.710000038,7.940000057,8.170000076,8.423333486,8.676666896,8.930000305,9.162500143,9.394999981,9.627499819,9.859999657,9.829999924,10.02122319,10.02122319,10.02122319
Bosnia and Herzegovina,6.612996281,6.626101903,6.639207526,6.652313149,6.665418771,6.678524394,6.691630016,6.796222546,6.900815075,7.005407604,7.110000134,7.239999771,7.889999708,8.539999644,9.18999958,9.289999962,9.68999958,9.75,9.81000042,10.17500019,10.53999996,10.75500011,10.97000027,10.97000027
Botswana,7.61,7.744,7.878,8.012,8.146,8.28,8.398,8.516,8.634,8.752,8.87,9.1,9.33,9.56,9.79,10.02,10.1,10.18,10.26,10.34,10.42,10.478,10.478,10.478
Brazil,5.272178174,5.449133635,5.626089097,5.803044558,5.980000019,6.150000095,6.320000172,6.5,6.670000076,6.769999981,6.880000114,7.010000229,7.21999979,7.289999962,7.380000114,7.510000229,7.730000019,7.849999905,7.980000019,8.125777988,8.274219016,8.425371752,8.425371752,8.425371752
Brunei Darussalam,8.29,8.328,8.366,8.404,8.442,8.48,8.538,8.596,8.654,8.712,8.77,8.82,8.87,8.92,8.97,9.02,9.06,9.1,9.14,9.18,9.22,9.282,9.282,9.282
Bulgaria,9.743333287,10.03999996,10.11599998,10.19200001,10.26800003,10.34400005,10.42000008,10.53999996,10.59000015,10.64000034,10.72000027,10.77999973,10.89999962,11.01000023,11.05000019,11.18999958,11.22999954,11.23999977,11.29666646,11.35333316,11.40999985,11.45453092,11.45453092,11.45453092
Burkina Faso,,,,,,1.343624228,1.320000052,0.980000019,1.024285725,1.068571431,1.112857137,1.157142844,1.20142855,1.245714256,1.289999962,1.447499961,1.604999959,1.762499958,1.919999957,2.099999905,2.183274984,2.266550064,2.266550064,2.266550064
Burundi,1.998888943,2.052777833,2.106666724,2.160555614,2.214444505,2.268333395,2.322222286,2.376111176,2.430000067,2.363333384,2.296666702,2.230000019,2.163333337,2.096666654,2.029999971,2.286666632,2.543333292,2.799999952,2.955112081,3.118816986,3.291590683,3.473935556,3.473935556,3.473935556
Cabo Verde,5.314436678,5.349154601,5.384099328,5.419272341,5.45467513,5.490309197,5.526176052,5.562277217,5.598614223,5.635188609,5.672001926,5.709055736,5.74635161,5.783891128,5.821430647,5.860000134,5.896509684,5.934049202,5.986045818,6.038042434,6.09003905,6.09003905,6.09003905,6.09003905
Cambodia,3.372761251,3.435607734,3.498454217,3.5613007,3.624147183,3.686993666,3.808496866,3.930000067,4.03000021,3.940000057,3.872000027,3.803999996,3.735999966,3.667999935,3.599999905,3.670000076,3.952092528,4.23418498,4.516277432,4.798369884,4.997735023,5.197100163,5.197100163,5.197100163
